id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
1,494.01443619986867,4.240281146112036,0.8185668890604472,-0.11229526251554489,-0.8874847595088327,225,0.0,1814.314697265625,3.010141134262085,-1.1964671462888354
2,4.901414385884136,5.109201170024038,0.5104862349839518,-0.0009895601542666554,0.022818692597965762,225,0.0,1186.0413818359375,2.9144136905670166,-1.161377995882947
3,505.1490583885296,5.960280152295293,0.22298208171212008,0.5130451321601868,-0.060956237919160196,225,0.0,989.3750610351562,2.93855619430542,-1.1703350004671265
4,494.90927431327856,11.45827603703523,0.8792835661440497,0.08559166640043259,0.0042203742763390565,225,0.0,2438.9931640625,3.5059638023376465,-1.3620185696638563
5,194.11492766717316,131.8800114722369,0.5906751087063399,-0.28254130482673645,-0.16469324082067716,225,0.0,1409.59521484375,1.3476967811584473,-0.3239804777485159
6,316.48410882554526,136.33678374501937,0.6689110096328656,-0.10700199007987976,-0.08381184504355742,225,0.0,2186.9736328125,3.5946311950683594,-1.389135847254101
7,223.13663548705753,266.2176439741259,0.8477075393228128,-0.012832814827561378,0.07182962870892219,225,0.0,2781.049072265625,4.536711692810059,-1.641852952022137
8,319.4541311811772,326.38788886946895,0.7291020854290253,-0.041842300444841385,-0.0013164978971992136,225,0.0,13521.30859375,36.788238525390625,-3.914272484186597
9,179.93785693610155,457.43150855235956,0.9998853931225327,-0.26467302441596985,-0.21060527540229387,225,0.0,1621.8975830078125,1.3206586837768555,-0.30197647835606767
10,358.980125596185,501.07676985698004,0.8715458887972006,-0.059420306235551834,-0.009503116709225531,225,0.0,3562.081298828125,6.377246856689453,-2.011583071017243
11,5.6338664677416705,505.3493421229199,0.2588829289890742,0.11936891078948975,-0.1274196701988466,225,0.0,1042.1181640625,2.985936403274536,-1.1877013838902437
12,137.81461247468638,504.1945029477362,0.7533125449597887,-0.023490939289331436,-0.9809376335045158,225,0.0,1443.8006591796875,1.7688461542129517,-0.6192251542331935
13,505.22810848804954,505.1293113281437,0.4935731612842866,-0.3272342085838318,0.07701779698790741,225,0.0,1288.1763916015625,2.8978731632232666,-1.1551984323774729
